indice_original,comercio,descripcion_original,descripcion_limpia,categoria_real,categoria_predicha,prob_max,causa_probable,evidencia
48261,Plaza Vea,plaza vea REF770614,plaza vea <num>,alimentacion,educacion,0.2731786479239133,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['plaza', 'vea'] del comercio 'Plaza Vea' aparece en transacciones de otro comercio de la categoria real 'alimentacion' (vocabulario de esos otros comercios: 614 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
2536,Dia Market,Dia Mar,dia mar,alimentacion,vivienda,0.3162915745822651,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'Dia Market' se solapan con otros comercios de 'alimentacion' (['mar']) -- solapamiento parcial, vocabulario compartido escaso."
42701,Fruteria El Huerto,Fruteria El Huerto,fruteria el huerto,alimentacion,vivienda,0.5306783111509916,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['fruteria', 'huerto'] del comercio 'Fruteria El Huerto' aparece en transacciones de otro comercio de la categoria real 'alimentacion' (vocabulario de esos otros comercios: 610 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
42316,Fruteria El Huerto,Fruteria El Huerto,fruteria el huerto,alimentacion,vivienda,0.5306783111509916,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['fruteria', 'huerto'] del comercio 'Fruteria El Huerto' aparece en transacciones de otro comercio de la categoria real 'alimentacion' (vocabulario de esos otros comercios: 610 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
2985,Domicilios Restaurante,TRF/POS Domicilio Restaurante REF970702,domicilio restaurante <num>,alimentacion,ocio,0.9070524839348008,categoria_ambigua,"token 'restaurante' aparece 177 veces en transacciones de 'alimentacion' (real) y 220 veces en 'ocio' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
36769,Mercado Central Puesto,TRF/POS Mercado Central Puesto,mercado central puesto,alimentacion,otras,0.993753044192387,categoria_ambigua,"token 'mercado' aparece 186 veces en transacciones de 'alimentacion' (real) y 296 veces en 'otras' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
39041,PAGO CUOTA ELECTRODOMESTICOS,pago cuota electrodomestic,cuota electrodomestic,deudas,servicios,0.3774111735618493,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'PAGO CUOTA ELECTRODOMESTICOS' se solapan con otros comercios de 'deudas' (['cuota']) -- solapamiento parcial, vocabulario compartido escaso."
65215,PAGO CUOTA ELECTRODOMESTICOS,PAGO CUOTA ELECTRODOMESTICOS SANTIAGO,cuota electrodomesticos santiago,deudas,servicios,0.3953872311502069,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'PAGO CUOTA ELECTRODOMESTICOS' se solapan con otros comercios de 'deudas' (['cuota']) -- solapamiento parcial, vocabulario compartido escaso."
66392,PAGO CUOTA ELECTRODOMESTICOS,TRF/POS PAGO CUOTA ELECTRODOMESTICSO,cuota electrodomesticso,deudas,servicios,0.4069403623737848,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'PAGO CUOTA ELECTRODOMESTICOS' se solapan con otros comercios de 'deudas' (['cuota']) -- solapamiento parcial, vocabulario compartido escaso."
24743,PAGO CUOTA ELECTRODOMESTICOS,PAGO CUOTA ELECTRODOMESTICOS REF771353,cuota electrodomesticos <num>,deudas,servicios,0.4382853169447416,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'PAGO CUOTA ELECTRODOMESTICOS' se solapan con otros comercios de 'deudas' (['cuota']) -- solapamiento parcial, vocabulario compartido escaso."
26569,PAGO PRESTAMO AUTOMOTRIZ,TRF/POS PAGO PRESTAMO AUTOMOTRIZ,prestamo automotriz,deudas,transporte,0.7279619012610752,categoria_ambigua,"token 'automotriz' aparece 288 veces en transacciones de 'deudas' (real) y 216 veces en 'transporte' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
53522,PAGO PRESTAMO AUTOMOTRIZ,PAGO PRESTAM AUTOMOTRIZ BOGOTA,prestam automotriz bogota,deudas,transporte,0.980407901327642,categoria_ambigua,"token 'automotriz' aparece 288 veces en transacciones de 'deudas' (real) y 216 veces en 'transporte' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
22945,Pension Colegio,Pension oClegio LIMA,pension oclegio lima,educacion,otras,0.2757667571475641,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['oclegio', 'pension'] del comercio 'Pension Colegio' aparece en transacciones de otro comercio de la categoria real 'educacion' (vocabulario de esos otros comercios: 476 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
12653,Pension Colegio,TRF/POS Pension Colegio QUITO,pension colegio quito,educacion,otras,0.3502351795738742,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['colegio', 'pension'] del comercio 'Pension Colegio' aparece en transacciones de otro comercio de la categoria real 'educacion' (vocabulario de esos otros comercios: 476 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
45192,Instituto de Idiomas,Instituto de Idiomas MEDELLIN,instituto de idiomas medellin,educacion,otras,0.4268062086184681,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['idiomas', 'instituto'] del comercio 'Instituto de Idiomas' aparece en transacciones de otro comercio de la categoria real 'educacion' (vocabulario de esos otros comercios: 484 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
40701,Matricula Universidad,matricula universidad,matricula universidad,educacion,alimentacion,0.4664613715071217,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['matricula', 'universidad'] del comercio 'Matricula Universidad' aparece en transacciones de otro comercio de la categoria real 'educacion' (vocabulario de esos otros comercios: 469 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
23202,Fotocopias Universitarias,# Fotocopias Universitarias,fotocopias universitarias,educacion,salud,0.9783641115987852,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['fotocopias', 'universitarias'] del comercio 'Fotocopias Universitarias' aparece en transacciones de otro comercio de la categoria real 'educacion' (vocabulario de esos otros comercios: 479 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
44452,Taller de Programacion,TALLER DE PROGRAMACION REF395121,taller de programacion <num>,educacion,transporte,0.98294939072669,categoria_ambigua,"token 'taller' aparece 508 veces en transacciones de 'educacion' (real) y 242 veces en 'transporte' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
57122,HBO Max Mensual,HBO MAX MENSUAL,hbo max mensual,ocio,transporte,0.3437775051227308,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['hbo', 'max', 'mensual'] del comercio 'HBO Max Mensual' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 800 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
23483,HBO Max Mensual,HBO MAX MENSUAL,hbo max mensual,ocio,transporte,0.3437775051227308,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['hbo', 'max', 'mensual'] del comercio 'HBO Max Mensual' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 800 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
