user_id,ingreso,ratio_deuda,frecuencia_ahorro,pct_gasto_esencial,tasa_gasto,perfil
USR_0001,5633321.39,0.103,4,0.6221,0.8586,En observación
USR_0002,6444101.63,0.8633,1,0.7272,0.5943,En riesgo
USR_0003,11733651.47,0.7455,9,0.3559,0.4281,En riesgo
USR_0004,7276957.07,0.8877,5,0.5649,1.2214,En riesgo
USR_0005,10026710.91,0.1729,13,0.3498,1.0165,En riesgo
USR_0006,4341025.99,0.9873,11,0.7698,1.0222,En riesgo
USR_0007,9688012.09,0.1508,3,0.4731,0.5841,Saludable
USR_0008,11314327.18,0.1087,9,0.7282,1.0216,En riesgo
USR_0009,3144214.66,0.877,1,0.5334,0.35,En riesgo
USR_0010,9616533.64,0.4067,14,0.3173,0.9619,En observación
USR_0011,8795939.35,0.1221,0,0.7449,0.3564,En observación
USR_0012,8445881.41,0.0834,11,0.5922,0.3847,Saludable
USR_0013,13671691.63,0.9071,8,0.5552,1.0344,En observación
USR_0014,2867598.23,0.2213,9,0.4142,0.5178,Saludable
USR_0015,5715360.3,0.6285,1,0.8746,1.2308,En observación
USR_0016,9067752.25,0.7342,4,0.8462,1.0481,En riesgo
USR_0017,10396687.28,0.5827,12,0.734,0.6671,En observación
USR_0018,8724300.61,0.5164,7,0.725,0.4756,En observación
USR_0019,6332164.79,0.0283,14,0.7806,1.1019,En riesgo
USR_0020,11230097.25,0.7933,4,0.4613,1.1746,En riesgo
USR_0021,4144182.73,0.3254,12,0.7111,0.5986,En observación
USR_0022,8692049.41,0.4334,3,0.582,0.9276,En observación
USR_0023,14106454.34,0.2991,1,0.7761,0.8866,En observación
USR_0024,9659941.74,0.8206,5,0.5275,0.7194,En riesgo
USR_0025,3660192.35,0.9244,6,0.3444,0.4451,En riesgo
USR_0026,2865484.81,0.6278,6,0.3753,0.8427,En riesgo
USR_0027,12226343.12,0.0363,13,0.5011,0.9911,En observación
USR_0028,8391127.28,0.9769,5,0.7541,1.2554,En riesgo
USR_0029,6908297.62,0.9524,0,0.3929,0.6817,En riesgo
USR_0030,6372661.86,0.2442,0,0.2406,0.9963,En riesgo
USR_0031,1928980.09,0.8171,6,0.6149,1.1962,En riesgo
USR_0032,2701255.2,0.4729,4,0.4011,0.8925,En observación
USR_0033,5309461.61,0.0555,4,0.8971,0.4786,Saludable
USR_0034,14757447.99,0.3761,5,0.5589,0.4468,En observación
USR_0035,8804232.67,0.1447,3,0.7982,1.299,En riesgo
USR_0036,5590783.14,0.1489,3,0.4628,0.4107,Saludable
USR_0037,6064161.09,0.1735,5,0.6377,0.7239,Saludable
USR_0038,8881410.07,0.2132,13,0.4804,0.4923,Saludable
USR_0039,4935974.06,0.854,14,0.8243,1.2712,En riesgo
USR_0040,12050897.01,0.5428,4,0.8602,1.1841,En riesgo
USR_0041,2357855.08,0.5167,0,0.7617,0.9704,En observación
USR_0042,2947886.83,0.3465,5,0.3455,1.1003,En riesgo
USR_0043,9818348.61,0.4681,6,0.7957,1.2316,En riesgo
USR_0044,14621582.16,0.7811,10,0.565,1.079,En riesgo
USR_0045,5893503.32,0.1787,2,0.78,0.7255,En observación
USR_0046,2052754.59,0.5568,0,0.2527,1.2583,En riesgo
USR_0047,7203164.6,0.6233,11,0.6372,0.6027,En riesgo
USR_0048,5286105.71,0.5016,13,0.5871,0.7886,En observación
USR_0049,2772346.93,0.084,9,0.2561,1.0511,En riesgo
USR_0050,3143504.91,0.0999,0,0.5624,0.4674,En observación
USR_0051,14702702.08,0.375,1,0.4979,1.1719,En observación
USR_0052,6654113.98,0.3334,4,0.8204,0.5715,En observación
USR_0053,1737818.62,0.8478,11,0.3984,1.1994,En riesgo
USR_0054,12113325.06,0.582,7,0.8231,0.8527,En observación
USR_0055,14553529.88,0.9961,9,0.7353,0.5439,En riesgo
USR_0056,12776075.02,0.3759,10,0.2392,0.8065,En observación
USR_0057,13218289.87,0.2135,13,0.8427,0.5485,Saludable
USR_0058,9662728.64,0.4004,7,0.5636,0.932,En observación
USR_0059,12249560.65,0.4521,15,0.7538,0.8533,En observación
USR_0060,2219411.77,0.2859,7,0.5906,0.3566,Saludable
USR_0061,3544383.68,0.2853,11,0.6938,1.0971,En riesgo
USR_0062,10607123.95,0.2066,11,0.417,0.8279,Saludable
USR_0063,4179773.29,0.8845,10,0.6223,0.3313,Saludable
USR_0064,2839980.05,0.3119,0,0.4945,1.0067,Saludable
USR_0065,14630998.26,0.8931,3,0.5736,0.7524,En riesgo
USR_0066,14676294.87,0.0498,4,0.3396,0.3608,Saludable
USR_0067,4472643.41,0.4261,2,0.8797,1.1834,En riesgo
USR_0068,14248636.14,0.1136,12,0.7705,0.6232,Saludable
USR_0069,14755250.95,0.7086,0,0.6429,0.3525,En riesgo
USR_0070,5247071.98,0.9212,2,0.558,0.3933,En riesgo
USR_0071,13908228.98,0.344,5,0.4489,1.1998,En riesgo
USR_0072,2830546.59,0.3107,2,0.8361,0.8184,En observación
USR_0073,2234227.38,0.1103,3,0.8544,0.4553,Saludable
USR_0074,1667481.41,0.9898,9,0.2302,1.2743,En riesgo
USR_0075,1436987.27,0.9477,9,0.3357,0.5366,En riesgo
USR_0076,13300295.8,0.8195,8,0.3127,0.4812,En riesgo
USR_0077,9004437.02,0.6373,3,0.4903,0.3362,En riesgo
USR_0078,5635613.63,0.7636,6,0.578,0.7143,En riesgo
USR_0079,14685124.11,0.5821,9,0.7226,0.86,En observación
USR_0080,9913177.61,0.2421,10,0.228,0.5009,Saludable
USR_0081,3766916.36,0.2548,9,0.3822,0.7756,Saludable
USR_0082,5331896.37,0.3232,6,0.6718,0.8373,En observación
USR_0083,7329189.99,0.6344,0,0.5831,0.8433,En riesgo
USR_0084,14666758.69,0.3671,7,0.4982,0.9447,En observación
USR_0085,3643578.72,0.5605,9,0.6611,0.4505,En observación
USR_0086,13938584.31,0.565,2,0.6055,0.3423,En observación
USR_0087,9297216.19,0.2746,6,0.3723,0.8774,En observación
USR_0088,6965941.57,0.1658,12,0.336,1.2739,En riesgo
USR_0089,6190705.52,0.6014,14,0.2613,0.6816,En riesgo
USR_0090,8192296.51,0.2687,7,0.8037,0.4811,Saludable
USR_0091,8710467.26,0.9506,14,0.8854,0.5704,En riesgo
USR_0092,10759361.45,0.2535,6,0.391,0.4697,Saludable
USR_0093,7879072.35,0.7019,15,0.7765,0.6582,En riesgo
USR_0094,2566468.04,0.7581,5,0.4809,0.4926,En riesgo
USR_0095,6114037.5,0.1698,11,0.7669,0.428,Saludable
USR_0096,11621584.38,0.2145,15,0.4308,0.7617,Saludable
USR_0097,4026533.21,0.3014,5,0.7364,0.675,En observación
USR_0098,9004732.05,0.8356,5,0.8363,1.2695,En riesgo
USR_0099,3596222.51,0.223,12,0.4412,0.3878,Saludable
USR_0100,7814009.91,0.7287,3,0.4316,0.8424,En riesgo
USR_0101,14431453.17,0.206,14,0.3028,0.9923,En observación
USR_0102,13777695.62,0.5016,13,0.2156,0.4715,En observación
USR_0103,8994918.56,0.7033,6,0.7934,0.6766,En riesgo
USR_0104,9120017.46,0.0272,4,0.6577,1.2951,En riesgo
USR_0105,14141874.12,0.0043,15,0.3651,0.7613,Saludable
USR_0106,7720922.77,0.3408,15,0.2641,0.4123,En observación
USR_0107,11229019.8,0.9443,8,0.4605,0.9728,En riesgo
USR_0108,13959069.03,0.8165,11,0.2013,0.6506,En riesgo
USR_0109,4532206.35,0.0623,9,0.5712,0.564,Saludable
USR_0110,10070401.11,0.7034,5,0.6152,0.8435,En riesgo
USR_0111,2566978.79,0.3188,12,0.5759,1.208,En riesgo
USR_0112,2007317.01,0.5883,1,0.5725,0.7342,En observación
USR_0113,6545201.21,0.8417,13,0.4022,0.6875,En riesgo
USR_0114,9849522.24,0.5535,4,0.5294,0.3932,En observación
USR_0115,1833834.44,0.1116,9,0.8505,0.636,Saludable
USR_0116,2126096.77,0.4216,11,0.8684,1.2589,En riesgo
USR_0117,12758365.74,0.3638,15,0.4778,1.1215,En riesgo
USR_0118,2318005.52,0.3165,14,0.5557,0.6452,En observación
USR_0119,3765443.62,0.0048,0,0.2697,0.6064,En observación
USR_0120,8111936.19,0.2317,2,0.6397,1.1403,En riesgo
USR_0121,3246563.94,0.8553,9,0.3516,1.1444,En riesgo
USR_0122,9915438.1,0.0787,1,0.5238,0.6135,En observación
USR_0123,10378068.67,0.8396,0,0.6874,0.5389,En riesgo
USR_0124,2836313.38,0.8708,8,0.5071,0.5341,En riesgo
USR_0125,6883715.82,0.7161,11,0.4178,1.15,En riesgo
USR_0126,9524005.76,0.1457,13,0.2173,0.9753,En observación
USR_0127,14068443.07,0.2369,12,0.4689,1.0341,Saludable
USR_0128,14143171.16,0.5292,13,0.3038,1.002,En riesgo
USR_0129,11215472.48,0.6742,5,0.6429,0.4211,En riesgo
USR_0130,4962301.02,0.5076,7,0.509,0.6386,En observación
USR_0131,5250004.37,0.2115,11,0.7852,0.3469,Saludable
USR_0132,14278904.9,0.1287,8,0.7227,0.6255,Saludable
USR_0133,10421670.83,0.7169,14,0.3739,0.9848,En riesgo
USR_0134,3777526.83,0.5431,13,0.8036,0.4679,En observación
USR_0135,5710120.23,0.1725,7,0.493,1.1502,En riesgo
USR_0136,14065818.42,0.6012,11,0.4949,1.154,En riesgo
USR_0137,11847389.11,0.0647,9,0.5131,1.0902,En riesgo
USR_0138,12269592.42,0.7197,12,0.4832,0.5915,En riesgo
USR_0139,4434799.27,0.5325,7,0.7767,0.9382,En observación
USR_0140,2061467.53,0.6523,7,0.8799,1.0272,En riesgo
USR_0141,6025216.65,0.0928,8,0.6539,0.978,En observación
USR_0142,13379180.54,0.2346,5,0.6437,0.841,Saludable
USR_0143,13996265.73,0.9319,3,0.2987,0.9788,En riesgo
USR_0144,11514970.13,0.1153,0,0.5501,0.4033,En observación
USR_0145,3927539.38,0.4796,12,0.7125,0.9834,En observación
USR_0146,5070354.72,0.6738,9,0.5132,0.9591,En riesgo
USR_0147,1897942.81,0.4933,8,0.6561,1.1323,En riesgo
USR_0148,7538595.37,0.6795,2,0.5569,1.163,En riesgo
USR_0149,6950047.15,0.7439,7,0.7463,1.2212,En riesgo
USR_0150,5424851.38,0.2477,8,0.231,0.6084,Saludable
USR_0151,10575838.09,0.5654,2,0.5885,0.5953,En observación
USR_0152,3928230.86,0.3641,13,0.8308,0.5608,En observación
USR_0153,13176033.33,0.6442,14,0.2921,0.9762,En riesgo
USR_0154,4384603.78,0.791,10,0.4081,0.5574,En riesgo
USR_0155,6463886.93,0.3562,1,0.2225,1.1958,En riesgo
USR_0156,10198741.02,0.7375,9,0.7687,0.7765,En riesgo
USR_0157,12967673.52,0.2471,14,0.5891,1.1571,En riesgo
USR_0158,4410314.51,0.806,6,0.8789,0.9345,En riesgo
USR_0159,11743967.14,0.0838,1,0.6608,0.3795,En observación
USR_0160,8018313.91,0.3606,12,0.6251,0.4852,En observación
USR_0161,9851444.65,0.1738,1,0.4562,0.7045,En observación
USR_0162,8841125.18,0.938,11,0.3236,0.8487,En riesgo
USR_0163,7838727.23,0.0459,9,0.4875,0.5797,Saludable
USR_0164,9614191.86,0.6869,0,0.3866,0.6449,Saludable
USR_0165,10156813.65,0.8828,11,0.4482,1.2515,En riesgo
USR_0166,9994461.38,0.7877,0,0.2986,1.2173,En riesgo
USR_0167,7540254.7,0.0777,10,0.6915,0.7768,Saludable
